Genome name	BioSample	Dataset	Run(s) accession number(s)	Year of sampling	Clade (only for Lee 2015)
G10710	SAMEA3231659	Eldholm 2015	ERR760612	2005	
G10711	SAMEA3231660	Eldholm 2015	ERR760731	2005	
G10712	SAMEA3231661	Eldholm 2015	ERR760732	2005	
G10714	SAMEA3231663	Eldholm 2015	ERR760734	2005	
G10715	SAMEA3231664	Eldholm 2015	ERR760735	2005	
G10716	SAMEA3231665	Eldholm 2015	ERR760736	2006	
G10717	SAMEA3231666	Eldholm 2015	ERR760737	2006	
G10718	SAMEA3231667	Eldholm 2015	ERR760738	2006	
G10719	SAMEA3231668	Eldholm 2015	ERR760739	2005	
G10720	SAMEA3231669	Eldholm 2015	ERR760740	2005	
G10721	SAMEA3231670	Eldholm 2015	ERR760741	2006	
G10722	SAMEA3231671	Eldholm 2015	ERR760742	2006	
G10723	SAMEA3231672	Eldholm 2015	ERR760743	2006	
G10724	SAMEA3231673	Eldholm 2015	ERR760744	2005	
G10725	SAMEA3231674	Eldholm 2015	ERR760745	2006	
G10726	SAMEA3231675	Eldholm 2015	ERR760746	2004	
G10727	SAMEA3231676	Eldholm 2015	ERR760747	2006	
G10728	SAMEA3231677	Eldholm 2015	ERR760748	2002	
G10729	SAMEA3231678	Eldholm 2015	ERR760749	2005	
G10730	SAMEA3231679	Eldholm 2015	ERR760750	2005	
G10731	SAMEA3231680	Eldholm 2015	ERR760751	2005	
G10732	SAMEA3231681	Eldholm 2015	ERR760752	2006	
G10733	SAMEA3231682	Eldholm 2015	ERR760753	2006	
G10734	SAMEA3231683	Eldholm 2015	ERR760754	2006	
G10735	SAMEA3231684	Eldholm 2015	ERR760755	2006	
G10736	SAMEA3231685	Eldholm 2015	ERR760756	2006	
G10737	SAMEA3231686	Eldholm 2015	ERR760757	2005	
G10738	SAMEA3231687	Eldholm 2015	ERR760758	2006	
G10739	SAMEA3231688	Eldholm 2015	ERR760759	2006	
G10740	SAMEA3231689	Eldholm 2015	ERR760760	2006	
G10741	SAMEA3231690	Eldholm 2015	ERR760761	2007	
G10742	SAMEA3231691	Eldholm 2015	ERR760762	2007	
G10743	SAMEA3231692	Eldholm 2015	ERR760763	2007	
G10744	SAMEA3231693	Eldholm 2015	ERR760764	2007	
G10745	SAMEA3231694	Eldholm 2015	ERR760765	2007	
G10746	SAMEA3231695	Eldholm 2015	ERR760766	2006	
G10747	SAMEA3231696	Eldholm 2015	ERR760767	2006	
G10748	SAMEA3231697	Eldholm 2015	ERR760768	2006	
G10749	SAMEA3231708	Eldholm 2015	ERR760778	2008	
G10750	SAMEA3231709	Eldholm 2015	ERR760779	2007	
G10751	SAMEA3231711	Eldholm 2015	ERR760781	2006	
G10752	SAMEA3231712	Eldholm 2015	ERR760782	2008	
G10753	SAMEA3231713	Eldholm 2015	ERR760783	2008	
G10754	SAMEA3231715	Eldholm 2015	ERR760784	2008	
G10755	SAMEA3231716	Eldholm 2015	ERR760785	2008	
G10756	SAMEA3231717	Eldholm 2015	ERR760786	2008	
G10757	SAMEA3231718	Eldholm 2015	ERR760787	2008	
G10758	SAMEA3231719	Eldholm 2015	ERR760788	2008	
G10759	SAMEA3231720	Eldholm 2015	ERR760789	2008	
G10760	SAMEA3231721	Eldholm 2015	ERR760790	2008	
G10761	SAMEA3231722	Eldholm 2015	ERR760791	2008	
G10762	SAMEA3231723	Eldholm 2015	ERR760792	2008	
G10763	SAMEA3231724	Eldholm 2015	ERR760793	2008	
G10764	SAMEA3231725	Eldholm 2015	ERR760794	2008	
G10765	SAMEA3231726	Eldholm 2015	ERR760795	2008	
G10766	SAMEA3231727	Eldholm 2015	ERR760796	2008	
G10767	SAMEA3231728	Eldholm 2015	ERR760797	2008	
G10768	SAMEA3231729	Eldholm 2015	ERR760798	2009	
G10769	SAMEA3231731	Eldholm 2015	ERR760799	2009	
G10770	SAMEA3231732	Eldholm 2015	ERR760800	2009	
G10771	SAMEA3231733	Eldholm 2015	ERR760801	2009	
G10772	SAMEA3231734	Eldholm 2015	ERR760802	2009	
G10773	SAMEA3231735	Eldholm 2015	ERR760803	2009	
G10774	SAMEA3231563	Eldholm 2015	ERR760809	2001	
G10775	SAMEA3231564	Eldholm 2015	ERR760810	2001	
G10776	SAMEA3231565	Eldholm 2015	ERR760811	2002	
G10777	SAMEA3231566	Eldholm 2015	ERR760812	2002	
G10778	SAMEA3231567	Eldholm 2015	ERR760813	2002	
G10779	SAMEA3231568	Eldholm 2015	ERR760814	2002	
G10780	SAMEA3231569	Eldholm 2015	ERR760815	2002	
G10781	SAMEA3231570	Eldholm 2015	ERR760816	2002	
G10782	SAMEA3231571	Eldholm 2015	ERR760817	2002	
G10783	SAMEA3231572	Eldholm 2015	ERR760818	2002	
G10784	SAMEA3231573	Eldholm 2015	ERR760819	2002	
G10785	SAMEA3231574	Eldholm 2015	ERR760820	2002	
G10786	SAMEA3231575	Eldholm 2015	ERR760821	2002	
G10787	SAMEA3231576	Eldholm 2015	ERR760822	2002	
G10788	SAMEA3231577	Eldholm 2015	ERR760823	2002	
G10789	SAMEA3231578	Eldholm 2015	ERR760824	2002	
G10790	SAMEA3231579	Eldholm 2015	ERR760825	2002	
G10791	SAMEA3231580	Eldholm 2015	ERR760826	2002	
G10792	SAMEA3231581	Eldholm 2015	ERR760827	2002	
G10793	SAMEA3231582	Eldholm 2015	ERR760828	2002	
G10794	SAMEA3231583	Eldholm 2015	ERR760829	2002	
G10795	SAMEA3231584	Eldholm 2015	ERR760830	2002	
G10796	SAMEA3231585	Eldholm 2015	ERR760831	2002	
G10797	SAMEA3231586	Eldholm 2015	ERR760832	2002	
G10798	SAMEA3231587	Eldholm 2015	ERR760833	2002	
G10799	SAMEA3231588	Eldholm 2015	ERR760834	2002	
G10800	SAMEA3231589	Eldholm 2015	ERR760835	2002	
G10801	SAMEA3231590	Eldholm 2015	ERR760836	2002	
G10802	SAMEA3231591	Eldholm 2015	ERR760837	2003	
G10803	SAMEA3231592	Eldholm 2015	ERR760838	2003	
G10804	SAMEA3231593	Eldholm 2015	ERR760839	2003	
G10805	SAMEA3231594	Eldholm 2015	ERR760840	2003	
G10806	SAMEA3231595	Eldholm 2015	ERR760841	2003	
G10807	SAMEA3231596	Eldholm 2015	ERR760842	2003	
G10808	SAMEA3231597	Eldholm 2015	ERR760843	2002	
G10809	SAMEA3231598	Eldholm 2015	ERR760844	2003	
G10810	SAMEA3231599	Eldholm 2015	ERR760845	2003	
G10811	SAMEA3231600	Eldholm 2015	ERR760846	2003	
G10812	SAMEA3231601	Eldholm 2015	ERR760847	2003	
G10813	SAMEA3231602	Eldholm 2015	ERR760848	2003	
G10814	SAMEA3231603	Eldholm 2015	ERR760849	2003	
G10815	SAMEA3231604	Eldholm 2015	ERR760850	2003	
G10816	SAMEA3231605	Eldholm 2015	ERR760851	2003	
G10817	SAMEA3231606	Eldholm 2015	ERR760852	2003	
G10818	SAMEA3231607	Eldholm 2015	ERR760853	2003	
G10819	SAMEA3231608	Eldholm 2015	ERR760854	2003	
G10820	SAMEA3231609	Eldholm 2015	ERR760855	2003	
G10821	SAMEA3231610	Eldholm 2015	ERR760856	2003	
G10822	SAMEA3231611	Eldholm 2015	ERR760857	2003	
G10823	SAMEA3231612	Eldholm 2015	ERR760858	2003	
G10824	SAMEA3231613	Eldholm 2015	ERR760859	2003	
G10825	SAMEA3231614	Eldholm 2015	ERR760860	2003	
G10826	SAMEA3231615	Eldholm 2015	ERR760861	2003	
G10827	SAMEA3231616	Eldholm 2015	ERR760862	2003	
G10828	SAMEA3231617	Eldholm 2015	ERR760863	2003	
G10829	SAMEA3231618	Eldholm 2015	ERR760864	2003	
G10830	SAMEA3231619	Eldholm 2015	ERR760865	2003	
G10831	SAMEA3231620	Eldholm 2015	ERR760866	2004	
G10832	SAMEA3231621	Eldholm 2015	ERR760867	2004	
G10833	SAMEA3231622	Eldholm 2015	ERR760868	2004	
G10834	SAMEA3231623	Eldholm 2015	ERR760869	2004	
G10835	SAMEA3231624	Eldholm 2015	ERR760870	2004	
G10836	SAMEA3231625	Eldholm 2015	ERR760871	2004	
G10837	SAMEA3231626	Eldholm 2015	ERR760872	2004	
G10838	SAMEA3231627	Eldholm 2015	ERR760873	2003	
G10839	SAMEA3231628	Eldholm 2015	ERR760874	2003	
G10840	SAMEA3231629	Eldholm 2015	ERR760875	2003	
G10841	SAMEA3231630	Eldholm 2015	ERR760876	2004	
G10842	SAMEA3231631	Eldholm 2015	ERR760877	2004	
G10843	SAMEA3231632	Eldholm 2015	ERR760878	2004	
G10844	SAMEA3231633	Eldholm 2015	ERR760879	2004	
G10845	SAMEA3231634	Eldholm 2015	ERR760880	2004	
G10846	SAMEA3231635	Eldholm 2015	ERR760881	2004	
G10847	SAMEA3231636	Eldholm 2015	ERR760882	2004	
G10848	SAMEA3231637	Eldholm 2015	ERR760883	2004	
G10849	SAMEA3231638	Eldholm 2015	ERR760884	2004	
G10850	SAMEA3231639	Eldholm 2015	ERR760885	2000	
G10851	SAMEA3231640	Eldholm 2015	ERR760886	2004	
G10852	SAMEA3231641	Eldholm 2015	ERR760887	2004	
G10853	SAMEA3231736	Eldholm 2015	ERR760888	1999	
G10854	SAMEA3231737	Eldholm 2015	ERR760889	1997	
G10855	SAMEA3231738	Eldholm 2015	ERR760890	1998	
G10856	SAMEA3231739	Eldholm 2015	ERR760891	1998	
G10857	SAMEA3231740	Eldholm 2015	ERR760892	1998	
G10858	SAMEA3231741	Eldholm 2015	ERR760893	1999	
G10859	SAMEA3231742	Eldholm 2015	ERR760894	1998	
G10860	SAMEA3231743	Eldholm 2015	ERR760895	1998	
G10861	SAMEA3231744	Eldholm 2015	ERR760896	1998	
G10862	SAMEA3231745	Eldholm 2015	ERR760897	1998	
G10863	SAMEA3231747	Eldholm 2015	ERR760899	1998	
G10864	SAMEA3231748	Eldholm 2015	ERR760900	1998	
G10865	SAMEA3231749	Eldholm 2015	ERR760901	1998	
G10866	SAMEA3231750	Eldholm 2015	ERR760902	1998	
G10867	SAMEA3231751	Eldholm 2015	ERR760903	1998	
G10868	SAMEA3231752	Eldholm 2015	ERR760904	1998	
G10869	SAMEA3231753	Eldholm 2015	ERR760905	1998	
G10870	SAMEA3231754	Eldholm 2015	ERR760906	1998	
G10871	SAMEA3231755	Eldholm 2015	ERR760907	1998	
G10872	SAMEA3231756	Eldholm 2015	ERR760908	1998	
G10873	SAMEA3231757	Eldholm 2015	ERR760909	1998	
G10874	SAMEA3231758	Eldholm 2015	ERR760910	1998	
G10875	SAMEA3231759	Eldholm 2015	ERR760911	1998	
G10876	SAMEA3231760	Eldholm 2015	ERR760912	1998	
G10877	SAMEA3231761	Eldholm 2015	ERR760913	1998	
G10878	SAMEA3231762	Eldholm 2015	ERR760914	1998	
G10879	SAMEA3231763	Eldholm 2015	ERR760915	1998	
G10880	SAMEA3231764	Eldholm 2015	ERR760916	1998	
G10881	SAMEA3231765	Eldholm 2015	ERR760917	1998	
G10882	SAMEA3231766	Eldholm 2015	ERR760918	1998	
G10883	SAMEA3231767	Eldholm 2015	ERR760919	1998	
G10884	SAMEA3231768	Eldholm 2015	ERR760920	1998	
G10885	SAMEA3231769	Eldholm 2015	ERR760921	1998	
G10886	SAMEA3231770	Eldholm 2015	ERR760922	1998	
G10887	SAMEA3231771	Eldholm 2015	ERR760923	1998	
G10888	SAMEA3231772	Eldholm 2015	ERR760924	2009	
G10889	SAMEA3231773	Eldholm 2015	ERR760925	1998	
G10890	SAMEA3231774	Eldholm 2015	ERR760926	2000	
G10891	SAMEA3231775	Eldholm 2015	ERR760927	1997	
G10892	SAMEA3231707	Eldholm 2015	ERR762352	2007	
G10893	SAMEA3231730	Eldholm 2015	ERR762353	2007	
G10894	SAMEA3231698	Eldholm 2015	ERR845303		
G10895	SAMEA3231699	Eldholm 2015	ERR845304		
G10896	SAMEA3231700	Eldholm 2015	ERR845305		
G10897	SAMEA3231701	Eldholm 2015	ERR845306		
G10898	SAMEA3231702	Eldholm 2015	ERR845307		
G10899	SAMEA3231704	Eldholm 2015	ERR845327		
G10900	SAMEA3231705	Eldholm 2015	ERR845328		
G10901	SAMEA3231706	Eldholm 2015	ERR845329		
G10902	SAMEA3231746	Eldholm 2015	ERR845330		
G10903	SAMEA3231528	Eldholm 2015	ERR850078		
G10904	SAMEA3231653	Eldholm 2015	ERR850262		
G22565	SAMN02671072	Lee 2015	SRR1186316	2007	clade A
G22566	SAMN02671073	Lee 2015	SRR1186993	2007	clade A
G22567	SAMN02671074	Lee 2015	SRR1187001	2009	clade C
G22568	SAMN02671075	Lee 2015	SRR1187011	2007	clade A
G22569	SAMN02671076	Lee 2015	SRR1187028	2011	clade B
G22571	SAMN02671078	Lee 2015	SRR1187076	2007	clade B
G22572	SAMN02671079	Lee 2015	SRR1187082	2012	clade A
G22573	SAMN02671080	Lee 2015	SRR1187085	2009	clade C
G22574	SAMN02671081	Lee 2015	SRR1187086	2011	clade A
G22575	SAMN02671082	Lee 2015	SRR1187087	2012	clade A
G22576	SAMN02671083	Lee 2015	SRR1187088	2011	clade B
G22577	SAMN02671084	Lee 2015	SRR1187089	2012	clade A
G22579	SAMN02671086	Lee 2015	SRR1187183	2012	clade A
G22580	SAMN02671087	Lee 2015	SRR1187184	2009	clade C
G22581	SAMN02671088	Lee 2015	SRR1187186	2009	clade C
G22582	SAMN02671089	Lee 2015	SRR1187192	2012	clade A
G22583	SAMN02671090	Lee 2015	SRR1187195	2008	clade A
G22584	SAMN02671091	Lee 2015	SRR1187196	2008	clade B
G22585	SAMN02671092	Lee 2015	SRR1187251	2011	clade C
G22586	SAMN02671093	Lee 2015	SRR1187252	2010	clade C
G22587	SAMN02671094	Lee 2015	SRR1187295	2012	clade A
G22589	SAMN02671096	Lee 2015	SRR1187297	2012	clade A
G22590	SAMN02671097	Lee 2015	SRR1200251	2012	clade A
G22591	SAMN02671098	Lee 2015	SRR1187380	2011	clade A
G22592	SAMN02671099	Lee 2015	SRR1187393	2008	clade B
G22593	SAMN02671100	Lee 2015	SRR1187423	2012	clade A
G22595	SAMN02671102	Lee 2015	SRR1187576	2011	clade B
G22596	SAMN02671103	Lee 2015	SRR1187598	2012	clade A
G22597	SAMN02671104	Lee 2015	SRR1187618	2011	clade B
G22598	SAMN02671105	Lee 2015	SRR1187619	2008	clade A
G22599	SAMN02671106	Lee 2015	SRR1187620	2009	clade C
G22600	SAMN02671107	Lee 2015	SRR1187627	2009	clade C
G22601	SAMN02671108	Lee 2015	SRR1187628	2012	clade A
G22602	SAMN02671109	Lee 2015	SRR1187629	2011	clade C
G22603	SAMN02671110	Lee 2015	SRR1187630	2008	clade A
G22604	SAMN02671111	Lee 2015	SRR1187631	2008	clade A
G22605	SAMN02671112	Lee 2015	SRR1187633	2012	clade A
G22606	SAMN02671113	Lee 2015	SRR1187945	2011	clade C
G22607	SAMN02671114	Lee 2015	SRR1187946	2012	clade A
G22608	SAMN02671115	Lee 2015	SRR1187983	2011	clade C
G22609	SAMN02671116	Lee 2015	SRR1188082	2012	clade A
G22610	SAMN02671117	Lee 2015	SRR1188083	2012	clade A
G22611	SAMN02671118	Lee 2015	SRR1188084	2012	
G22612	SAMN02671119	Lee 2015	SRR1188085	2011	clade B
G22613	SAMN02671120	Lee 2015	SRR1188086	2012	clade A
G22614	SAMN02671121	Lee 2015	SRR1188087	2008	clade C
G22615	SAMN02671122	Lee 2015	SRR1188119	2012	clade C
G22616	SAMN02671123	Lee 2015	SRR1188121	2012	clade A
G22617	SAMN02671124	Lee 2015	SRR1188127	2012	clade A
G22618	SAMN02671125	Lee 2015	SRR1188130	2012	clade A
G22619	SAMN02671126	Lee 2015	SRR1188131	2011	clade B
G22620	SAMN02671127	Lee 2015	SRR1188133	2012	clade A
G22621	SAMN02671128	Lee 2015	SRR1188137	2012	clade A
G22622	SAMN02671129	Lee 2015	SRR1188138	2010	clade A
G22623	SAMN02671130	Lee 2015	SRR1188143	2012	clade A
G22624	SAMN02671131	Lee 2015	SRR1188170	2012	clade A
G22625	SAMN02671132	Lee 2015	SRR1188174	2009	clade C
G22626	SAMN02671133	Lee 2015	SRR1188175	2012	clade A
G22627	SAMN02671134	Lee 2015	SRR1188181	2012	clade A
G22628	SAMN02671135	Lee 2015	SRR1188183	2006	clade B
G22629	SAMN02671136	Lee 2015	SRR1188184	2010	clade A
G22631	SAMN02671138	Lee 2015	SRR1188188	2012	clade A
G22632	SAMN02671139	Lee 2015	SRR1188220	2006	clade B
G22633	SAMN02671140	Lee 2015	SRR1188259	2006	clade B
G22634	SAMN02671141	Lee 2015	SRR1188284	2006	clade B
G22635	SAMN02671142	Lee 2015	SRR1188286	2009	clade B
G22636	SAMN02671143	Lee 2015	SRR1188339	2009	clade B
G22637	SAMN02671144	Lee 2015	SRR1188341	2012	clade A
G22638	SAMN02671145	Lee 2015	SRR1188343	2009	clade A
G22639	SAMN02671146	Lee 2015	SRR1188359	2012	clade A
G22640	SAMN02671147	Lee 2015	SRR1188439	2006	clade B
G22642	SAMN02671149	Lee 2015	SRR1188479	2012	clade A
G22643	SAMN02671150	Lee 2015	SRR1188486	2010	clade B
G22644	SAMN02671151	Lee 2015	SRR1188487	2011	clade B
G22645	SAMN02671152	Lee 2015	SRR1188492	2012	clade A
G22648	SAMN02671155	Lee 2015	SRR1190434	2012	clade A
G22649	SAMN02671156	Lee 2015	SRR1190442	2012	clade A
G22650	SAMN02671157	Lee 2015	SRR1190468	2009	clade C
G22651	SAMN02671158	Lee 2015	SRR1190470	2012	clade A
G22652	SAMN02671159	Lee 2015	SRR1190473	2012	clade A
G22653	SAMN02671160	Lee 2015	SRR1190474	2009	clade B
G22654	SAMN02671161	Lee 2015	SRR1190475	2012	clade A
G22655	SAMN02671162	Lee 2015	SRR1190477	2007	clade C
G22656	SAMN02671163	Lee 2015	SRR1190478	2010	clade B
G22657	SAMN02671164	Lee 2015	SRR1190480	2011	clade C
G22658	SAMN02671165	Lee 2015	SRR1191277	2011	clade C
G22659	SAMN02671166	Lee 2015	SRR1191298	2012	clade A
G22660	SAMN02671167	Lee 2015	SRR1191488	2011	clade C
G22662	SAMN02671169	Lee 2015	SRR1191546	2012	clade A
G22663	SAMN02671170	Lee 2015	SRR1191547	2011	clade B
G22664	SAMN02671171	Lee 2015	SRR1191666	2007	clade A
G22665	SAMN02671172	Lee 2015	SRR1191727	2011	clade A
G22666	SAMN02848484	Lee 2015	SRR1367198	2012	clade A
G22667	SAMN02848485	Lee 2015	SRR1367199	2012	clade A
G22668	SAMN02848486	Lee 2015	SRR1367200	2012	clade A
G22669	SAMN03161661	Lee 2015	SRR1640242	1991	clade C
G22670	SAMN03161662	Lee 2015	SRR1640246	1991	clade C
G22671	SAMN03161663	Lee 2015	SRR1640250	1992	clade B
G22672	SAMN03161664	Lee 2015	SRR1640253	1991	clade C
G22673	SAMN03161665	Lee 2015	SRR1640254	1992	clade C
G22674	SAMN03161666	Lee 2015	SRR1640266	1993	clade C
G22675	SAMN03161667	Lee 2015	SRR1640273	1993	clade B
G22676	SAMN03161668	Lee 2015	SRR1640287	1994	clade B
G22678	SAMN03161670	Lee 2015	SRR1640290	1995	clade C
G22679	SAMN03161671	Lee 2015	SRR1640291	1996	clade C
G22680	SAMN03161672	Lee 2015	SRR1640292	1996	clade C
G22681	SAMN03161673	Lee 2015	SRR1640293	1996	clade C
G22682	SAMN03161674	Lee 2015	SRR1640294	1996	clade C
G22683	SAMN03161675	Lee 2015	SRR1640295	1996	clade C
G22684	SAMN03161676	Lee 2015	SRR1640316	1996	clade C
G22685	SAMN03161677	Lee 2015	SRR1640321	1996	clade C
G22686	SAMN03161678	Lee 2015	SRR1640326	1997	clade C
G22687	SAMN03161679	Lee 2015	SRR1640327	1997	clade C
G22688	SAMN03161680	Lee 2015	SRR1640334	1998	clade C
G22689	SAMN03161681	Lee 2015	SRR1640335	1999	clade C
G22690	SAMN03161682	Lee 2015	SRR1640336	2000	clade B
G22692	SAMN03161684	Lee 2015	SRR1640340	2005	clade C
G22693	SAMN03161685	Lee 2015	SRR1640342	2000	clade B
G22695	SAMN03161687	Lee 2015	SRR1640343	2001	clade C
G22696	SAMN03161688	Lee 2015	SRR1640346	2001	clade C
G22697	SAMN03161689	Lee 2015	SRR1640347	2002	clade B
G22698	SAMN03161690	Lee 2015	SRR1640348	2004	clade C
G22699	SAMN03161691	Lee 2015	SRR1640349	2004	clade C
G22700	SAMN03161692	Lee 2015	SRR1640539	2004	clade C
G22701	SAMN03161693	Lee 2015	SRR1640540	2004	clade C
G22702	SAMN03161694	Lee 2015	SRR1640541	2004	clade C
G22703	SAMN03161695	Lee 2015	SRR1640542	2004	clade C
G22704	SAMN03161696	Lee 2015	SRR1640543	2004	clade C
G22705	SAMN03161697	Lee 2015	SRR1640547	2005	clade B
G22706	SAMN03161698	Lee 2015	SRR1640549	2005	clade C
G22707	SAMN03161699	Lee 2015	SRR1640551	2005	clade B
G22708	SAMN03161700	Lee 2015	SRR1640562	2006	clade B
G22709	SAMN03161701	Lee 2015	SRR1640563	2007	clade B
G22710	SAMN03161702	Lee 2015	SRR1640564	2010	clade A
G22711	SAMN03161703	Lee 2015	SRR1640565	2010	clade A
G22712	SAMN03161704	Lee 2015	SRR1640566	2012	clade A
G22713	SAMN03161705	Lee 2015	SRR1640567	2012	clade B
G22717	SAMN03161709	Lee 2015	SRR1640574	2013	clade B
G22722	SAMN03161714	Lee 2015	SRR1640707	2013	clade C
G22723	SAMN03161715	Lee 2015	SRR1640708	2013	clade B
G22724	SAMN03161716	Lee 2015	SRR1640709	2013	clade C
G22725	SAMN03161717	Lee 2015	SRR1640710	2013	clade C
G22726	SAMN03161718	Lee 2015	SRR1640711	2013	clade C
G22727	SAMN03161719	Lee 2015	SRR1640712	2013	clade B
G22730	SAMN03161722	Lee 2015	SRR1640749	2010	clade B
G22732	SAMN03161724	Lee 2015	SRR1640751	2007	clade A
G22733	SAMN03161725	Lee 2015	SRR1640752	2012	clade A
G26424	SAMEA3721528	Comas 2015	ERR1200602		
G26425	SAMEA3721529	Comas 2015	ERR1200603		
G26426	SAMEA3721530	Comas 2015	ERR1200604		
G26428	SAMEA3721532	Comas 2015	ERR1200606		
G26430	SAMEA3721534	Comas 2015	ERR1200608		
G26432	SAMEA3721536	Comas 2015	ERR1200610		
G26434	SAMEA3721538	Comas 2015	ERR1200612		
G26435	SAMEA3721539	Comas 2015	ERR1200613		
G26439	SAMEA3721543	Comas 2015	ERR1200617		
G26440	SAMEA3721544	Comas 2015	ERR1200618		
G26441	SAMEA3721545	Comas 2015	ERR1200619		
G26445	SAMEA3721549	Comas 2015	ERR1200623		
G26446	SAMEA3721550	Comas 2015	ERR1200624		
G26447	SAMEA3721551	Comas 2015	ERR1200625		
G26453	SAMEA3721557	Comas 2015	ERR1200631		
G26455	SAMEA3721559	Comas 2015	ERR1200633		
G26456	SAMEA3721560	Comas 2015	ERR1200634		
G26457	SAMEA3721561	Comas 2015	ERR1200635		
G26458	SAMEA3721562	Comas 2015	ERR1200636		
G26461	SAMEA3721565	Comas 2015	ERR1200639		
G26462	SAMEA3721566	Comas 2015	ERR1200640		
G06321	SAMEA1016039	Shitikov 2017	ERR067696		
G06322	SAMEA1404012	Shitikov 2017	ERR117454		
G06323	SAMEA1707118	Shitikov 2017	ERR234632		
G06325	SAMEA1404027	Shitikov 2017	ERR117456		
G06326	SAMEA1403641	Shitikov 2017	ERR133815		
G06327	SAMEA1403693	Shitikov 2017	ERR108514		
G06329	SAMEA1015957	Shitikov 2017	ERR067667		
G06330	SAMEA1016196	Shitikov 2017	ERR067644		
G06331	SAMEA1707242	Shitikov 2017	ERR234600		
G06332	SAMEA1707137	Shitikov 2017	ERR234662		
G06333	SAMEA1016078	Shitikov 2017	ERR067588		
G06334	SAMEA1707543	Shitikov 2017	ERR234584		
G06505	SAMEA2533692	Shitikov 2017	ERR551090		
G06511	SAMEA2533777	Shitikov 2017	ERR551212		
G06516	SAMEA2533850	Shitikov 2017	ERR551311		
G06520	SAMEA2533982	Shitikov 2017	ERR551494		
G06547	SAMEA2534438	Shitikov 2017	ERR552136		
G06548	SAMEA2534441	Shitikov 2017	ERR552141		
G06555	SAMEA2534642	Shitikov 2017	ERR552429		
